slide_name,average_clustering_coefficient,average_degree,average_closeness_centrality,average_betweenness_centrality,average_shortest_path,max_clique_num,max_clique_weight,average_neighbour_degree,average_degree_connectivity,average_eigenvector_centrality,average_load_centrality,average_harmonic_centrality,average_current_flow_closeness_centrality
TCGA-2F-A9KP-01Z-00-DX1,0.43555627527372276,4888.827994327658,0.004395303271240046,0.05646329752092512,232.80133306322156,22,7669,21.0,0.9545454545454543,0.21123559440776576,0.0,0.11529253271546053,119.12878375934089
TCGA-2F-A9KT-01Z-00-DX1,0.39888616220069034,8874.167333758362,0.004532008685278031,0.03130703410254747,227.54275214765016,40,18156,39.0,0.975,0.15612163311617372,0.0,0.2287153825896442,113.6068471996407
TCGA-2F-A9KW-01Z-00-DX1,0.4169913683460622,4973.4474367441,0.004778326443434744,0.05171405627425842,216.23684507583042,24,13893,23.0,0.958333333333333,0.20142340102350853,0.0,0.14004150598865464,109.40611079697419
TCGA-4Z-AA7M-01Z-00-DX1,0.4191605671885512,5662.365179274016,0.005235371637545055,0.04182247910544114,195.25397169910386,30,13204,29.0,0.9666666666666666,0.1808970245265477,0.0,0.19468615834481412,98.87567883217825
TCGA-4Z-AA80-01Z-00-DX1,0.40794798943469773,8606.401835548271,0.005000197120065443,0.02953265299340248,204.9143294178159,43,27323,42.0,0.9767441860465111,0.1509961003316146,0.0,0.28882289644245196,102.61508722192252
TCGA-4Z-AA82-01Z-00-DX1,0.40313154119585554,5946.082071120099,0.005010245742462773,0.041770303954030155,205.03731279724488,30,13264,29.0,0.9666666666666662,0.18055679378963843,0.0,0.18854842296309415,103.4241449188133
TCGA-4Z-AA84-01Z-00-DX1,0.4566427727138465,3975.8461075822365,0.004376097596643844,0.07003059697350666,233.87330044601387,18,5197,17.0,0.9444444444444441,0.2337546319889251,0.0,0.10238139872234403,120.55367898449273
TCGA-4Z-AA86-01Z-00-DX1,0.4404842600989674,3180.8372975641955,0.005853270828316042,0.06445010767465842,176.71318319801102,19,7526,18.0,0.9473684210526314,0.22631983205233644,0.0,0.12963594207732698,90.27506339315023
TCGA-4Z-AA87-01Z-00-DX1,0.38462486862487655,8172.466135051803,0.006289972993501174,0.024810839169072722,163.44932270103584,51,32466,50.0,0.9803921568627448,0.1383653244661124,0.0,0.4224359358671085,81.38634831738531
TCGA-4Z-AA89-01Z-00-DX1,0.4299533549043128,6505.729376137243,0.00488584987861135,0.03909775208389357,209.8622379399111,32,12676,31.0,0.9687500000000001,0.17496075235868996,0.0,0.19365650883588326,105.83933248883089
TCGA-BL-A0C8-01Z-00-DX1,0.0,414.06202568107005,0.0024150971061766644,nan,414.06202568107005,2,9,1.0,0.5,0.7071067811865476,0.0,0.0024150971061766644,414.06202568107005
TCGA-BL-A13I-01Z-00-DX1,0.5027766849012526,3199.824215491228,0.003453163761563842,0.10533685943151022,290.89311049920286,12,5884,11.0,0.9166666666666669,0.28806512343234153,0.0,0.05803178393531366,156.14625000911377
TCGA-BL-A13J-01Z-00-DX1,0.6107726445064967,1076.3534725799936,0.0027961037346972742,0.28993380334419894,358.7844908599979,4,527,3.0,0.7500000000000001,0.499378610611833,0.0,0.01053172641029923,230.55435913067092
TCGA-BL-A5ZZ-01Z-00-DX1,0.4190917345304895,2700.1191258386502,0.002688813193990526,0.15465894604109875,385.7313036912357,8,1727,7.0,0.875,0.34912267579795575,0.0,0.02692507338799649,209.34497631222936
TCGA-BT-A0YX-01Z-00-DX1,0.3866177061173124,9458.109953040936,0.005674850548546909,0.023776330328819952,181.88672986617155,53,32591,52.0,0.9811320754716982,0.13553816710025304,0.0,0.39241745465196803,90.24025474918321
TCGA-BT-A20N-01Z-00-DX1,0.45755805995241544,3122.422034495362,0.005601329214606685,0.06873695526467345,183.6718843820801,18,4866,17.0,0.9444444444444442,0.23322567249965706,0.0,0.120794670049381,94.42906681462557
TCGA-BT-A20T-01Z-00-DX1,0.45278245665801586,3376.4838196175633,0.006096227034774657,0.05864871517174596,168.82419098087817,21,5729,20.0,0.9523809523809522,0.21563978247767773,0.0,0.15049952873201353,86.18740575742139
TCGA-BT-A20U-01Z-00-DX1,0.41319028912256217,6191.220056242063,0.0029578433247931663,0.06771969078828713,343.9566697912257,19,11182,18.0,0.9473684210526317,0.22775266470365554,0.0,0.07833680781941932,177.40458546516254
TCGA-BT-A3PJ-01Z-00-DX1,0.4091566146233253,5022.02729659039,0.005110769256348206,0.048083530467457974,200.88109186361564,26,11437,25.0,0.961538461538461,0.19396703212374244,0.0,0.16554641852556828,101.83899409531529
TCGA-BT-A42E-01Z-00-DX1,0.3839594643712206,6332.092487541941,0.006200632038726825,0.03228509923915387,166.63401283005098,39,19564,38.0,0.9743589743589742,0.15796507585751504,0.0,0.3125413102459071,83.08789072413913
TCGA-CF-A9FM-01Z-00-DX1,0.44054875734241866,4562.102226346576,0.005161996219328393,0.05171321603845392,198.3522707107206,24,5575,23.0,0.9583333333333335,0.20211000079210054,0.0,0.14650962276121912,101.11158056212501
TCGA-CU-A0YO-01Z-00-DX1,0.45727425923437376,3443.319526596313,0.0032139139073777616,0.10817662137600886,313.029047872392,12,5062,11.0,0.9166666666666665,0.2878877130771395,0.0,0.057758623308790114,166.978043295617
TCGA-CU-A5W6-01Z-00-DX1,0.3775197521162618,3614.339965192687,0.0036342101439108916,0.09495548734955268,278.0261511686683,14,7880,13.0,0.9285714285714286,0.2659941866250874,0.0,0.0888121669521945,145.76362459386726
TCGA-E5-A4TZ-01Z-00-DX1,0.40886946168821536,5287.163793437473,0.0038898385933790573,0.05929036392435572,264.3581896718738,21,7760,20.0,0.9523809523809522,0.21575778762873257,0.0,0.0999370115377048,134.95523980641988
TCGA-E5-A4U1-01Z-00-DX1,0.5521378973080892,1969.9574433328567,0.004175752779678454,0.13003082324551182,246.24468041660714,9,1393,8.0,0.8888888888888888,0.3299794360992759,0.0,0.037884124089279866,134.11018978429203
TCGA-E7-A541-01Z-00-DX1,0.4282168448977328,7106.012355513999,0.005075252944837799,0.03498552377276676,203.02892444325727,36,16886,35.0,0.972222222222222,0.16473230783416368,0.0,0.23708099290376555,101.63615229796504
TCGA-E7-A6ME-01Z-00-DX1,0.38962606685687795,6298.493732023246,0.0057409077604869034,0.03494432296297761,179.95696377209262,36,21737,35.0,0.9722222222222222,0.16443456576335538,0.0,0.2666979130684165,89.88213011363864
TCGA-E7-A7DV-01Z-00-DX1,0.39301828327408994,11212.356012551158,0.0050617438281429766,0.022562248689901292,203.86101841002125,56,40816,55.0,0.9821428571428574,0.1319619030730067,0.0,0.37487093647499364,101.08270813111292
TCGA-E7-A7XN-01Z-00-DX1,0.4105630186563749,9363.10376086488,0.0051341141084006656,0.02650246319071302,199.2149736354228,48,26475,47.0,0.9791666666666669,0.14298137389374838,0.0,0.3279498406297663,99.68809161356496
TCGA-E7-A8O7-01Z-00-DX1,0.4031054384161613,4530.3225798776575,0.0054361322347038325,0.05014378989231504,188.76344082823576,25,7930,24.0,0.9600000000000002,0.1979378613853061,0.0,0.16805300482723215,95.84872810910528
