"y","x","cluster_id"
1,494,140
1,495,140
1,499,140
1,500,140
1,501,140
1,507,140
49,354,140
50,354,140
50,355,140
51,355,140
53,355,140
60,344,140
61,344,140
62,342,140
65,345,140
76,291,140
78,339,140
81,292,140
81,304,140
81,306,140
82,291,140
82,299,140
82,300,140
82,303,140
82,305,140
82,306,140
82,338,140
83,293,140
83,303,140
83,305,140
83,306,140
84,300,140
84,304,140
85,270,140
85,297,140
85,300,140
85,305,140
86,297,140
86,298,140
86,300,140
86,301,140
86,304,140
86,305,140
86,306,140
87,295,140
87,297,140
87,304,140
87,305,140
87,307,140
88,269,140
88,305,140
89,295,140
89,318,140
89,319,140
89,320,140
89,321,140
90,311,140
90,315,140
90,317,140
90,318,140
90,319,140
90,320,140
90,321,140
91,317,140
91,318,140
91,319,140
91,320,140
91,321,140
92,317,140
92,318,140
92,319,140
92,320,140
92,321,140
93,299,140
93,311,140
93,316,140
93,317,140
93,318,140
93,319,140
93,320,140
93,322,140
93,329,140
94,316,140
94,317,140
94,318,140
94,320,140
94,322,140
94,325,140
94,326,140
94,328,140
94,329,140
95,317,140
95,325,140
96,328,140
96,329,140
96,330,140
97,329,140
98,325,140
99,318,140
99,319,140
101,265,140
101,319,140
101,325,140
101,327,140
102,261,140
102,262,140
102,293,140
102,318,140
102,319,140
102,320,140
102,321,140
102,333,140
103,263,140
103,295,140
103,319,140
103,320,140
103,321,140
103,323,140
103,333,140
104,280,140
104,318,140
104,319,140
104,320,140
104,321,140
104,322,140
104,323,140
104,333,140
104,334,140
105,317,140
105,318,140
105,324,140
105,325,140
105,331,140
105,333,140
105,334,140
106,263,140
106,264,140
106,324,140
106,333,140
107,300,140
107,330,140
107,332,140
107,334,140
107,335,140
108,321,140
108,323,140
108,330,140
108,331,140
108,334,140
109,320,140
109,321,140
109,322,140
109,323,140
109,324,140
109,327,140
109,328,140
109,337,140
110,263,140
110,294,140
110,296,140
110,321,140
110,322,140
110,327,140
110,328,140
111,262,140
111,263,140
111,325,140
111,333,140
111,337,140
111,338,140
112,262,140
112,263,140
112,325,140
112,326,140
112,328,140
113,262,140
113,263,140
113,264,140
113,265,140
113,282,140
113,335,140
114,262,140
114,263,140
114,264,140
114,281,140
115,260,140
115,261,140
115,262,140
115,263,140
115,264,140
115,265,140
115,280,140
115,281,140
115,282,140
115,301,140
115,302,140
115,337,140
116,260,140
116,261,140
116,262,140
116,263,140
116,264,140
116,265,140
116,301,140
116,302,140
116,335,140
116,337,140
117,260,140
117,261,140
117,263,140
117,264,140
117,265,140
117,266,140
117,279,140
117,281,140
117,282,140
117,332,140
117,336,140
117,337,140
118,260,140
118,261,140
118,263,140
118,264,140
118,265,140
118,266,140
118,277,140
118,278,140
118,280,140
118,281,140
118,282,140
118,336,140
119,260,140
119,262,140
119,263,140
119,264,140
119,265,140
119,266,140
119,276,140
119,277,140
119,278,140
119,279,140
119,325,140
119,334,140
120,260,140
120,261,140
120,262,140
120,263,140
120,264,140
120,265,140
120,266,140
120,276,140
120,277,140
120,279,140
120,280,140
120,281,140
120,324,140
121,261,140
121,263,140
121,264,140
121,265,140
121,267,140
121,268,140
121,278,140
121,279,140
121,332,140
122,261,140
122,264,140
122,265,140
122,278,140
122,333,140
122,335,140
123,220,652
123,261,140
123,262,140
123,263,140
123,264,140
123,265,140
123,266,140
123,275,140
123,277,140
123,280,140
123,281,140
124,209,652
124,210,652
124,220,652
124,221,652
124,222,652
124,262,140
124,263,140
124,266,140
124,277,140
124,280,140
125,209,652
125,221,652
125,222,652
125,291,140
125,292,140
125,306,140
125,323,140
126,217,652
126,221,652
126,222,652
126,276,140
126,290,140
127,217,652
127,218,652
127,219,652
127,221,652
127,222,652
127,256,140
127,274,140
127,276,140
127,289,140
128,216,652
128,217,652
128,218,652
128,219,652
128,220,652
128,221,652
128,222,652
128,255,652
128,256,652
128,267,140
128,288,140
129,216,652
129,217,652
129,218,652
129,222,652
129,223,652
129,224,652
129,256,652
129,288,140
130,216,652
130,217,652
130,223,652
130,224,652
130,287,140
131,216,652
131,221,652
131,222,652
131,223,652
131,224,652
131,257,652
132,221,652
132,222,652
132,223,652
132,224,652
